이름,일본어명,위도,경도,구,주소,우편번호,요리,가격,타베로그점수,리뷰수,백명점,전화,예약링크,예약파트너,공식사이트,타베로그,구글지도,미쉐린,인스펙터코멘트
Sobakappo Nagano,蕎麦割烹 ながの,35.719268,139.814993,스미다구,"2-20-6 Higashimukojima, Sumida-ku",131-0032,소바,¥¥,3.72,201,,+81 3-6675-0167,https://www.tablecheck.com/soba-kappou-nagano/reserve/message?utm_source=michelin_guide,TableCheck,https://soba-kappou-nagano.com/,https://tabelog.com/tokyo/A1312/A131203/13296654/,https://www.google.com/maps/search/?api=1&query=Sobakappo%20Nagano&query_place_id=ChIJmUQ05l2AHWARyJIoB3SpKPE,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sobakappo-nagano,"The name ‘Sobakappo’ encapsulates the chef’s career. He draws on his experience in Japanese cuisine to patiently craft stews and salads of cooked vegetables. Combination platters feature an impressive variety of small dishes designed to complement sake, including simmered herring in sweet soy sauce and marinated grilled shrimp. Soba comes in two varieties: seiro soba served on a wickerwork tray or coarse-ground soba. Noodles are made differently according to terroir, accentuating differences in flavour. A soba apprenticeship: laughing, struggling and loving with soba."
Asakusa Hirayama,浅草 ひら山,35.710706,139.789854,다이토구,"1-3-14 Nishiasakusa, Taito-ku",111-0035,소바,¥¥,3.71,395,そば EAST 2025,+81 3-5830-6857,https://omakaseje.com/restaurants/mq856673?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://asakusa-hirayama.com/,https://tabelog.com/tokyo/A1311/A131102/13264582/,https://www.google.com/maps/search/?api=1&query=Asakusa%20Hirayama&query_place_id=ChIJ-YaF7AaPGGAR8rk0NEgyIr8,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/asakusa-hirayama,"Asakusa Hirayama hangs out its shop curtain near Kappabashi; the calligraphy is done by the chef’s grandmother, a calligraphy teacher, expressing her joy in her grandson becoming an independent restaurateur. The counter seating harks back to his background as a kappo cook and his cheerful demeanour makes guests feel welcome. Soba is preceded by standards like jellied broth of conger eel or stew of duck breast. Tempura items are deep-fried one by one, as good as you’d find in a tempura specialty shop. The 100% buckwheat soba noodles, prepared with homemade flour made with unpolished buckwheat, are richly flavoursome."
grill GRAND,グリル グランド,35.716956,139.797534,다이토구,"3-24-6 Asakusa, Taito-ku",111-0032,요쇼쿠,¥,3.7,927,洋食 EAST 2025,+81 3-3874-2351,,,,https://tabelog.com/tokyo/A1311/A131102/13008702/,https://www.google.com/maps/search/?api=1&query=grill%20GRAND&query_place_id=ChIJF6IBCuqOGGARSX84qXVrkL8,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/grill-grand,"Beloved in Asakusa for three generations, this yoshoku restaurant treats demi-glace sauce as the soul of its kitchen. The most popular dish here is beef stew. Omurice is served with a choice of demi-glace or ketchup, a nod to the legacy shared between the former chef and his guests. The restaurant’s logo, a medieval-style shield adorned with the French tricolour, was inspired by a gift from a regular — a gesture that speaks to the warmth and goodwill of Tokyo’s traditional neighbourhoods."
Hatsuogawa,初小川,35.709758,139.794528,다이토구,"2-8-4 Kaminarimon, Taito-ku",111-0034,장어,¥¥,3.75,797,うなぎ 2026,+81 3-3844-2723,,,,https://tabelog.com/tokyo/A1311/A131102/13003702/,https://www.google.com/maps/search/?api=1&query=Hatsuogawa&query_place_id=ChIJ2QVFa8eOGGAR3kcZkZIP0Vw,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/hatsuogawa,"A veteran eel shop loved by Asakusa locals since the early years of the 20th century. The restaurant is named after the previous proprietor, Hatsutaro; by happy coincidence, ‘ogawa’ means ‘little river’, the favoured habitat of eels. The current proprietor’s wife runs the restaurant with her family, preparing kabayaki with a sauce recipe handed down from the founder. It is a pleasure to wait, enjoying appetizers with sake, while the chef grills your eel. The many ‘senjafuda’, slips of paper posted on shrine pillars by worshippers, attest to the shop’s many loyal customers."
noura,ノウラ,35.718455,139.797106,다이토구,"4-10-6 Asakusa, Taito-ku",111-0032,프렌치,¥¥,3.7,376,,+81 3-6458-1255,https://omakaseje.com/restaurants/go432426?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://www.noura0815.com/,https://tabelog.com/tokyo/A1311/A131102/13225246/,https://www.google.com/maps/search/?api=1&query=noura&query_place_id=ChIJ255QpCuPGGAR1fX0SEzJUjI,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/noura,"The name means ‘behind’, as in ‘behind the MICHELIN two-star restaurant out front’. In contrast to HOMMAGE, the purveyor of creative cuisine, noura is a homelike bistro that sticks to the basics. French onion soup, fish quenelle and duck confit are some of the French regional dishes on offer. Steak frîtes, a French comfort food, are a crowd-pleaser. This is French food culture for everyday life."
Onigiri Asakusa Yadoroku,おにぎり 浅草 宿六,35.716906,139.794753,다이토구,"3-9-10 Asakusa, Taito-ku",111-0032,오니기리,¥,3.49,656,,+81 3-3874-1615,,,https://onigiriyadoroku.com/,https://tabelog.com/tokyo/A1311/A131102/13024859/,https://www.google.com/maps/search/?api=1&query=Onigiri%20Asakusa%20Yadoroku&query_place_id=ChIJL7znlOqOGGAR6Kyo4dI3Y0w,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/onigiri-asakusa-yadoroku,"This family has been serving onigiri in Asakusa for three generations. Ingredients are arrayed inside a glass case, as at a sushi shop, to be formed into onigiri on the spot. Offerings range from salmon and dried plum to rarer items such as herring roe pickled in sake lees and opossum shrimp preserved and simmered in sweetened soy sauce. Offering a wide range of ingredients allows customers to choose based on their physical condition; the area was once home to numerous bars and pubs, so customers would drop in for morsels to soothe constitutions punished by a night on the town."
Ponta Honke,ぽん多 本家,35.70631,139.773007,다이토구,"3-23-3 Ueno, Taito-ku",110-0005,요쇼쿠,¥¥,3.77,2030,洋食 EAST 2025,+81 3-3831-2351,https://omakaseje.com/r/dc419614?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1311/A131101/13003587/,https://www.google.com/maps/search/?api=1&query=Ponta%20Honke&query_place_id=ChIJTYnOCaCOGGARjM8rCZP-tsA,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ponta-honke,"Since its inception in 1905, this Western restaurant has been run by four generations of the same family. The chef’s famous cutlet is deep-fried in lard carefully trimmed from the pork he will fry. Everything is done by hand, as it has been from the first generation. The youthful energy and practiced skill of the chef is evident in every detail, even down to the hand-chopped cabbage. Traditional flavours and skills testify to his mettle. Delicious fare and the gentle ambience of a family enterprise make everyone feel at home."
Sugita,すぎ田,35.706397,139.79104,다이토구,"3-8-3 Kotobuki, Taito-ku",111-0042,돈카츠,¥,3.66,1163,とんかつ 2026,+81 3-3844-5529,https://omakaseje.com/r/sz407161?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,,https://tabelog.com/tokyo/A1311/A131103/13003707/,https://www.google.com/maps/search/?api=1&query=Sugita&query_place_id=ChIJEVQ8SriOGGARNUmMAtc1ess,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sugita,"‘Tonkatsu is food for the masses’, explains the second-generation chef, as he aims to serve up fare that is familiar and comforting. Copper pots polished till gleaming and plain wooden counters display a craftsman’s spirit. Two pots are used: one containing hot oil and the other cooler oil. Pork loin is shorn of extra fat and thinly battered. Tonkatsu is the star attraction, so no meat is added to the pork miso soup. As the chef works, a photo of his father in chef’s whites watches over him."
Tompachitei,とん八亭,35.708414,139.773726,다이토구,"4-3-4 Ueno, Taito-ku",110-0005,돈카츠,¥,3.65,1355,とんかつ 2026 / とんかつ 2024,+81 3-3831-4209,,,https://x.com/tompachitei,https://tabelog.com/tokyo/A1311/A131101/13003593/,https://www.google.com/maps/search/?api=1&query=Tompachitei&query_place_id=ChIJt1QK6Z-OGGAR89hWbcFJ2VQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tompachitei,"This popular spot lies in a back-alley near Ameya-Yokocho. Defending the restaurant’s noren is its third-generation chef, who grew up in this part of Ueno but sharpened his skills in Europe. Tonkatsu here is primarily pork loin cutlets. Applying his knowledge of Western techniques, the chef fries thick cuts of pork in relatively cool lard over a gentle flame. With rock salt, Worcestershire sauce, tonkatsu sauce and soy sauce on offer, it’s fun to compare how each tastes. Be prepared to queue first."
Japanese Ramen Gokan,Japanese Ramen 五感,35.732982,139.717911,도시마구,"2-57-2 Higashiikebukuro, Toshima-ku",170-0013,라멘,¥,,,,,https://www.tablecheck.com/shops/ramen-gokan/reserve?utm_source=michelin_guide,TableCheck,,,https://www.google.com/maps/search/?api=1&query=Japanese%20Ramen%20Gokan&query_place_id=ChIJ6XK00umNGGAR56saMFWNS7A,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/japanese-ramen-gokan,"The food looks great, the aroma whets the appetite, the flavour captivates: this ramen sets all five senses tingling. The word ‘Japanese’ in the shop’s name indicates that this is authentic Japan-made ramen; the name is written in Latin script to proclaim Japan’s comfort food to the world. Flavours of each region come together in a single bowl: salt ramen with shijimi and hamaguri clams; soy-sauce ramen with free-range chicken and kombu. Ceramic bowls handmade by a potter are used instead of porcelain. From ingredients to dining ware, the shop revisits the bounty and wonder of Japanese food culture."
Katchar Batchar,カッチャル バッチャル,35.727287,139.729481,도시마구,"2F, 3-2-10 Minamiotsuka, Toshima-ku",170-0005,인도,¥,3.83,1733,アジア・エスニック TOKYO 2026,+81 3-5954-5551,,,,https://tabelog.com/tokyo/A1323/A132302/13120294/,https://www.google.com/maps/search/?api=1&query=Katchar%20Batchar&query_place_id=ChIJKeJf33SNGGAREiG6980xtdI,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/katchar-batchar,"From the north, butter chicken; from the west, pork vindaloo; shrimp curry from the south – such a lineup of flavours from every region of India adds breadth to the joy that is Indian cooking. Tandoori chicken and vegetables are cooked using the radiant heat of a tandoor. For spices, the basic triad is cumin, coriander and turmeric. To keep the flavours of meats and vegetables at the fore, the number of spices is kept to a minimum."
Matsunozushi,松野寿し,35.726117,139.690794,도시마구,"2-16-12 Minaminagasaki, Toshima-ku",171-0052,스시,¥¥,,,,+81 3-3951-3588,,,,,https://www.google.com/maps/search/?api=1&query=Matsunozushi&query_place_id=ChIJDwJvMavyGGARDL8FQg1XL3w,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/matsunozushi,"Sushi items lined up inside a glass display case ooze Showa-era ambience. A sushi shop of the old school, and that’s how the chef likes it. Cutting and serving the sushi himself, the chef offers everything from omakase set menus to à la carte. Tuna is marinated in soy sauce; conger eel is coated in a thick, sweet eel sauce; and egg is served ‘kurakake’ or ‘saddle-style’: layered into a cake and split over a bite-sized mound of vinegared rice. The character for ‘sushi’ combines the characters for ‘fish’ and ‘delicious’. The pursuit of essential Edo style expresses the chef’s pride in his craft better than any words."
Mejiro Shunkotei,目白 旬香亭,35.721514,139.70736,도시마구,"2F, Trad Mejiro, 2-39-1 Mejiro, Toshima-ku",171-0031,요쇼쿠,¥¥,3.52,254,,+81 3-5927-1606,https://www.tablecheck.com/shops/shunkoutei-mejiro/reserve?utm_source=michelin_guide,TableCheck,https://shunkoutei.jp/,https://tabelog.com/tokyo/A1301/A130102/13297328/,https://www.google.com/maps/search/?api=1&query=Mejiro%20Shunkotei&query_place_id=ChIJkTu8XEGNGGARmMHUVC3vfos,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/mejiro-shunkotei,"‘Novel yet nostalgic Western food’ is the theme here. Hamburger steaks with dollops of demi-glace sauce and gratin dressed in silky smooth béchamel sauce are prepared in time-honoured ways, bringing back the flavours of the good old days. Decompression-prepared salad offers rich flavours and uniquely fresh textures. Unchanging methods combine with advanced cooking techniques declare a new approach to Western favourites."
Mejiro Zorome,目白 ぞろ芽,35.721552,139.706358,도시마구,"B1F, 3-3-1 Mejiro, Toshima-ku",171-0031,장어,¥¥,3.68,738,うなぎ 2026,+81 3-6908-3653,https://www.tablecheck.com/shops/unagi-zorome/reserve?utm_source=michelin_guide,TableCheck,,https://tabelog.com/tokyo/A1305/A130502/13224277/,https://www.google.com/maps/search/?api=1&query=Mejiro%20Zorome&query_place_id=ChIJP9iiNWmNGGARkExWPfOpAmQ,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/mejiro-zorome,"Unagi are dressed, skewered and grilled over high-grade charcoal. From the counter seats, the whole series of cooking scenes can be observed. The unagi are kept alive in purifying tanks until they are dressed, then dipped three times in sauce and grilled Edo-style. Sauce is used sparingly, letting the flavour of the fish speak for itself. Rice cooked somewhat firm, and freshly ground sansho pepper deliver a distinctive touch. Skilful restraint shows in the short steaming time and sparing use of sauce."
Negima,ねぎま,35.734057,139.729926,도시마구,"B1F, 2-31-19 Kitaotsuka, Toshima-ku",170-0004,일식,¥¥,3.33,66,,+81 80-8739-8566,https://omakaseje.com/r/hw756523?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,Omakase,https://negimakitaike.gorp.jp,https://tabelog.com/hokkaido/A0101/A010102/1003218/,https://www.google.com/maps/search/?api=1&query=Negima&query_place_id=ChIJQU8qiZ6SGGAR69BCdKi8fHs,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/negima,"Negima-nabe, a tuna and spring onion stew, is a tradition handed down since the days of the shoguns. At a time when lean meat was treasured, this stew was contrived as a way of lightening the texture of toro, the fatty cut of tuna. Enchanted with Edo-era cooking, the proprietress of Negima revived it. True to original recipes, the dish uses neither kombu nor mirin. The meal ends with ‘pepper rice’, a dish of fresh-cooked rice seasoned with broth from the pot and pepper. Sample the pure cooking that true Edo-ites have always loved."
Sosakumenkobo NAKIRYU,創作麺工房 鳴龍,35.728677,139.730345,도시마구,"2-34-4 Minamiotsuka, Toshima-ku",170-0005,라멘,¥,3.87,2499,ラーメン TOKYO 2025,+81 3-6304-1811,,,,https://tabelog.com/tokyo/A1323/A132302/13141302/,https://www.google.com/maps/search/?api=1&query=Sosakumenkobo%20NAKIRYU&query_place_id=ChIJQ7G7DnWNGGARB3r1SP30PMk,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sosakumenkobo-nakiryu,"‘Nakiryu’ means ‘roaring dragon’. The name is rich with meaning: it’s a reference to the dragon of Yakushido Hall in the Nikko Toshogu Shrine, to hopes for business growth, and to the couple who craft bowls of ramen together in perfect sync, both born in the Year of the Dragon. Dandan noodles create a synergy of flavours—layering meat miso, Chinese sesame paste, and chilli oil for a deep, amplified umami. Soy-sauce ramen owes its elegant flavour to its soup, drawn from whole chicken and oysters. À la carte items such as steamed chicken with spicy sauce and shrimp wontons exemplify experience with Chinese cuisine."
